frame,molecule,x_nm,y_nm,z_nm,photons,background
193,1,26720.0609203691,-1584.0685793847,-1274.6,20017,53.18
194,1,26713.0731463468,-1586.18730042243,-1266.5,18542,53.215
195,1,26715.1079110609,-1589.25989733779,-1285.5,20078,53.216
196,1,26727.0379821933,-1580.92003352764,-1283.4,15528,53.138
197,1,26717.9940190606,-1577.90650801138,-1273.8,17419,53.173
198,1,26719.0703185075,-1585.10684297532,-1274,14755,53.184
199,1,26720.9765368437,-1575.82154205885,-1277.3,15586,53.139
200,1,26732.9387445706,-1570.57115270666,-1269.7,12824,53.144
201,1,26733.982907423,-1574.68201321264,-1269.2,13879,53.196
202,1,26723.969766825,-1574.76640092563,-1263.4,14894,53.205
203,1,26709.1000267021,-1589.31052996558,-1270.4,15366,53.176
204,1,26721.9564265072,-1573.75345364891,-1273.3,17872,53.167
205,1,26715.043637872,-1583.08094842188,-1277.2,14758,53.159
206,1,26730.9254042528,-1569.55820542994,-1274.3,17408,53.174
207,1,26709.972794384,-1576.94419336246,-1271.6,15695,53.162
208,1,26718.9524843278,-1573.77876996281,-1272.3,18742,53.197
209,1,26715.0222134756,-1581.02129878324,-1260.3,18304,53.17
210,1,26727.9535986679,-1572.67299620179,-1275.7,18542,53.21
211,1,26721.0193856363,-1579.94084133612,-1268.5,17358,53.302
212,1,26717.0355537934,-1582.03424605995,-1267.1,13465,53.232
213,1,26724.0019034194,-1577.85587538359,-1281.2,17021,53.247
214,1,26722.9791649633,-1575.80466451625,-1278.8,17893,53.24
215,1,26717.0462659916,-1583.06407087928,-1280.8,18599,53.232
216,1,26728.976337124,-1574.72420706914,-1284.3,14846,53.253
217,1,26718.9631965259,-1574.80859478213,-1286,14069,53.218
218,1,26722.0314118943,-1580.96222738414,-1285.4,17829,53.328
219,1,26714.031611614,-1582.05956237385,-1271.4,17234,53.313
220,1,26709.1321632965,-1592.40000442354,-1254.9,14655,53.272
221,1,26722.9898771615,-1576.83448933557,-1284.5,18102,53.34
222,1,26733.0244421558,-1578.80975126121,-1280.8,12614,53.345
223,1,26718.0582922495,-1584.0854569273,-1259.4,20694,53.362
224,1,26727.9321742716,-1570.61334656316,-1270.7,18505,53.308
225,1,26730.9682530454,-1573.67750470722,-1265.4,22853,53.385
226,1,26701.9837063019,-1579.07135317149,-1270,22883,53.349
227,1,26726.9308602117,-1570.62178533446,-1282.2,15124,53.376
228,1,26717.9833068624,-1576.87668319206,-1283.3,14686,53.269
229,1,26703.0707179469,-1587.30151295474,-1276.7,17516,53.354
230,1,26726.9844212025,-1575.77090943105,-1279.3,19554,53.355
231,1,26725.9402583501,-1571.66004892507,-1262.2,18043,53.909
232,1,26717.0355537934,-1582.03424605995,-1281,16912,53.426
233,1,26719.0060453186,-1578.9278940594,-1265.5,19991,53.488
234,1,26723.0005893596,-1577.86431415488,-1274,21521,53.439
235,1,26721.0086734382,-1578.9110165168,-1274.2,20873,53.491
236,1,26719.0596063093,-1584.077018156,-1282.6,18546,53.365
237,1,26725.9402583501,-1571.66004892507,-1289.4,12784,53.382
238,1,26720.0073593784,-1578.9194552881,-1285.2,14015,53.337
239,1,26715.927117752,-1571.74443663807,-1287.6,17939,53.342
240,1,26726.0366681335,-1580.92847229894,-1285.2,14388,53.459
242,1,26716.0449519318,-1583.07250965058,-1275.8,12468,53.439
243,1,26730.0097877783,-1577.80524275579,-1273.7,19197,53.41
244,1,26732.9066079761,-1567.4816782487,-1288,14666,53.411
245,1,26719.9645105857,-1574.80015601083,-1282.7,20323,53.531
246,1,26726.0259559354,-1579.89864747962,-1282.2,16733,53.52
247,1,26730.9896774418,-1575.73715434585,-1287,17034,53.592
248,1,26725.9402583501,-1571.66004892507,-1292.4,14544,53.436
249,1,26725.0674906682,-1584.0263855282,-1295.3,16077,53.469
250,1,26732.0552646905,-1581.90766449047,-1293.5,15281,53.578
251,1,26727.9857352623,-1575.76247065975,-1289.6,14403,53.53
252,1,26728.0714328476,-1584.0010692143,-1297.1,19424,53.548
253,1,26716.0663763281,-1585.13215928921,-1288.3,15778,53.598
254,1,26737.9667392659,-1572.5886084888,-1299.9,22200,53.569
255,1,26734.9627970865,-1572.6139248027,-1299.2,14300,53.5
256,1,26725.9509705483,-1572.68987374439,-1289.7,13953,53.481
257,1,26723.0862869449,-1586.10291270944,-1285.6,14765,53.573
258,1,26724.9925052811,-1576.81761179297,-1298.4,16200,53.49
259,1,26720.0180715765,-1579.94928010742,-1296.2,17251,53.52
260,1,26721.9992752998,-1577.87275292618,-1287.7,17059,53.653
261,1,26716.9927050008,-1577.91494678268,-1298.5,15170,53.645
262,1,26730.0419243727,-1580.89471721375,-1294.4,17955,53.539
263,1,26724.0126156176,-1578.88570020291,-1294,14561,53.622
264,1,26737.0082739987,-1576.71634653738,-1290.2,17669,53.542
265,1,26730.0204999764,-1578.83506757511,-1296.7,18257,53.577
266,1,26729.0298981148,-1579.87333116572,-1287,15428,53.55
267,1,26730.0526365709,-1581.92454203306,-1285.9,14383,53.594
268,1,26731.0111018381,-1577.79680398449,-1295.2,14864,53.575
269,1,26728.976337124,-1574.72420706914,-1275,19284,53.674
270,1,26729.1584444926,-1592.23122899756,-1288.5,17701,53.602
271,1,26734.1328781972,-1589.0995606831,-1295.7,16841,53.591
272,1,26728.0928572439,-1586.06071885294,-1290.1,19047,53.695
273,1,26732.9173201743,-1568.51150306802,-1286.4,20667,53.729
274,1,26735.0484946718,-1580.85252335725,-1300,18317,53.639
275,1,26728.9977615203,-1576.78385670777,-1294.9,17010,53.592
276,1,26732.0017036997,-1576.75854039387,-1291.7,16222,53.555
277,1,26734.9413726902,-1570.55427516406,-1296.1,19551,53.636
278,1,26728.167842631,-1593.26949258817,-1292.7,21868,53.648
279,1,26731.0325262344,-1579.85645362313,-1298.4,16914,53.636
280,1,26740.0657771689,-1581.84015432007,-1289,22818,53.731
281,1,26730.9254042528,-1569.55820542994,-1296,17488,53.688
282,1,26733.9186342341,-1568.50306429672,-1295.8,19008,53.702
283,1,26726.0580925298,-1582.98812193758,-1289.6,16775,53.554
284,1,26725.0460662719,-1581.96673588956,-1293.1,16269,53.59
285,1,26725.0032174792,-1577.84743661229,-1294.9,15712,53.628
286,1,26725.0996272626,-1587.11585998616,-1294.1,13805,53.627
287,1,26722.0635484887,-1584.0517018421,-1287.7,16650,53.653
288,1,26730.0954853635,-1586.04384131034,-1290.3,17829,53.584
289,1,26732.9923055614,-1575.72027680325,-1294.1,18864,53.585
290,1,26724.0554644102,-1583.00499948018,-1288.1,16115,53.665
291,1,26736.081945326,-1583.93355904391,-1299,16535,53.663
292,1,26725.05677847,-1582.99656070888,-1285.5,12131,53.632
293,1,26734.9413726902,-1570.55427516406,-1297.9,14885,53.667
294,1,26734.9413726902,-1570.55427516406,-1293.5,15669,53.681
295,1,26724.0876010047,-1586.09447393814,-1289,19828,53.659
296,1,26720.9872490418,-1576.85136687817,-1299.8,16098,53.576
297,1,26726.9844212025,-1575.77090943105,-1289.6,19807,53.659
298,1,26731.0860872252,-1585.00557771972,-1291.1,18684,53.693
299,1,26734.1114538009,-1587.03991104446,-1285.9,16866,53.677
300,1,26721.9671387053,-1574.78327846823,-1291.4,14009,53.817
301,1,26717.0248415953,-1581.00442124064,-1284.4,14715,53.593
302,1,26732.9815933632,-1574.69045198394,-1295.6,15942,53.698
303,1,26729.9133779949,-1568.53681938192,-1290.1,17359,53.665
304,1,26727.9857352623,-1575.76247065975,-1296.4,21080,53.824
305,1,26728.0714328476,-1584.0010692143,-1288.1,18039,53.761
306,1,26736.0069599389,-1576.72478530868,-1291.2,16283,53.755
307,1,26728.028584055,-1579.88176993702,-1288.4,17465,53.704
308,1,26735.9748233445,-1573.63531085072,-1286.1,18432,53.711
309,1,26725.05677847,-1582.99656070888,-1290.3,19360,53.719
310,1,26725.9295461519,-1570.63022410576,-1291.5,18760,53.782
311,1,26728.8799273406,-1565.45578369526,-1297.5,15256,53.778
312,1,26749.0240427164,-1576.61508128178,-1282.2,13741,53.775
313,1,26737.1046837822,-1585.98476991125,-1284.9,13757,53.763
314,1,26737.0296983951,-1578.77599617601,-1288.7,16089,53.81
315,1,26730.0954853635,-1586.04384131034,-1283.2,15651,53.773
316,1,26725.8224241704,-1560.33197591257,-1283.9,16481,53.799
317,1,26735.0270702754,-1578.79287371861,-1277,16985,53.736
318,1,26725.0139296774,-1578.87726143161,-1279,17390,53.787
319,1,26731.075375027,-1583.97575290041,-1282.2,16291,53.765
320,1,26737.0082739987,-1576.71634653738,-1294.4,13520,53.866
321,1,26714.9686524849,-1575.87217468664,-1286.4,16064,53.81
322,1,26737.1261081785,-1588.04441954988,-1278.6,17044,53.851
323,1,26727.1129675804,-1588.12880726288,-1277.7,17257,53.873
324,1,26720.0716325673,-1585.09840420402,-1283.4,17305,53.786
325,1,26730.9254042528,-1569.55820542994,-1276.9,16948,53.792
326,1,26726.9415724099,-1571.65161015377,-1285.8,17286,53.837
327,1,26726.9951334007,-1576.80073425037,-1289.8,17413,53.783
328,1,26746.1057981223,-1584.87899615023,-1288.5,17003,53.842
329,1,26726.0795169261,-1585.04777157622,-1286.1,16270,53.756
330,1,26723.9590546268,-1573.73657610631,-1284.2,17208,53.815
331,1,26731.0111018381,-1577.79680398449,-1282.4,13345,53.749
332,1,26723.0220137559,-1579.92396379352,-1278,15543,53.757
333,1,26724.0233278157,-1579.91552502222,-1272.5,15289,53.708
334,1,26719.985934982,-1576.85980564947,-1281.6,15372,53.753
335,1,26727.0272699952,-1579.89020870832,-1291.6,17069,53.691
336,1,26739.9586551874,-1571.54190612688,-1281.8,18003,53.79
337,1,26735.9641111463,-1572.6054860314,-1288.1,14614,53.739
338,1,26728.9549127277,-1572.6645574305,-1292.6,15561,53.751
339,1,26734.0257562156,-1578.80131248991,-1283.9,16931,53.755
340,1,26723.0113015578,-1578.8941389742,-1277.8,18647,53.839
341,1,26730.1061975617,-1587.07366612966,-1295.6,19084,53.755
342,1,26720.9444002492,-1572.73206760089,-1292.4,15849,53.73
343,1,26722.1063972814,-1588.17100111937,-1287.5,19940,53.776
344,1,26725.9402583501,-1571.66004892507,-1288.3,15166,53.729
345,1,26736.0926575242,-1584.96338386323,-1282.2,17769,53.762
346,1,26731.9909915016,-1575.72871557455,-1284.2,15372,53.782
347,2,26732.0017036997,-1576.75854039387,-1289.8,17473,53.759
348,1,26728.9656249258,-1573.69438224982,-1289.3,17287,53.731
349,1,26730.9682530454,-1573.67750470722,-1291.3,16207,53.891
350,1,26721.9564265072,-1573.75345364891,-1288,16748,53.774
351,1,26716.0449519318,-1583.07250965058,-1276.4,11601,53.725
352,1,26738.0310124549,-1578.76755740471,-1282.6,13505,53.811
353,1,26721.0408100326,-1582.00049097476,-1292.7,16444,53.797
354,1,26718.9739087241,-1575.83841960145,-1275.6,15739,53.758
355,1,26728.9442005295,-1571.63473261118,-1297,15161,53.708
356,1,26733.0137299577,-1577.77992644189,-1271,16732,53.78
357,1,26724.044752212,-1581.97517466086,-1280.4,14236,53.673
358,1,26716.0663763281,-1585.13215928921,-1271.3,16501,53.731
359,1,26727.9750230642,-1574.73264584043,-1286.7,18046,53.782
360,1,26726.9951334007,-1576.80073425037,-1289,15719,53.837
361,1,26735.9748233445,-1573.63531085072,-1284.2,17499,53.767
362,1,26725.0996272626,-1587.11585998616,-1270.9,18798,53.805
363,1,26722.0956850832,-1587.14117630005,-1288,15869,53.792
364,1,26738.9466289294,-1570.52052007886,-1280.5,15451,53.795
365,1,26732.9923055614,-1575.72027680325,-1301.6,19303,53.835
366,1,26725.0246418755,-1579.90708625092,-1290.8,14739,53.756
367,1,26730.0204999764,-1578.83506757511,-1294.5,20359,53.825
368,1,26731.0325262344,-1579.85645362313,-1292,19403,53.808
369,1,26723.0113015578,-1578.8941389742,-1289.8,21289,53.865
370,1,26721.9992752998,-1577.87275292618,-1290.6,19300,53.815
371,1,26722.0528362906,-1583.02187702278,-1286.6,17288,53.826
372,1,26729.0941713037,-1586.05228008164,-1286.7,15664,53.792
373,1,26714.9686524849,-1575.87217468664,-1280.6,14120,53.818
374,1,26722.0956850832,-1587.14117630005,-1286.7,15982,53.751
375,1,26727.9750230642,-1574.73264584043,-1280.5,11735,53.816
376,1,26726.9844212025,-1575.77090943105,-1283.7,15803,54.149
377,1,26730.0097877783,-1577.80524275579,-1282.6,15007,53.788
378,1,26725.9188339538,-1569.60039928644,-1278.9,20158,54.267
379,1,26716.0878007244,-1587.19180892785,-1290.4,15999,53.905
380,1,26727.9750230642,-1574.73264584043,-1285.4,16501,54.342
381,1,26728.0714328476,-1584.0010692143,-1280.4,15669,53.908
382,1,26730.9789652436,-1574.70732952654,-1285.5,16799,53.894
383,1,26731.9802793034,-1574.69889075524,-1277.3,19152,53.877
384,1,26719.038181913,-1582.01736851736,-1282.6,18699,53.836
385,1,26721.9564265072,-1573.75345364891,-1293.8,16854,53.919
386,1,26717.0462659916,-1583.06407087928,-1272.1,19746,53.978
387,1,26726.068804728,-1584.0179467569,-1273.5,16302,53.882
388,1,26728.0071596586,-1577.82212029839,-1291.5,15681,53.879
389,1,26731.9695671052,-1573.66906593592,-1276.7,18299,54.29
390,1,26727.9857352623,-1575.76247065975,-1281.9,17202,53.87
391,1,26724.8746711014,-1565.48953878046,-1264.8,21177,54.286
392,1,26730.0312121746,-1579.86489239443,-1275.6,12716,53.809
393,1,26727.0379821933,-1580.92003352764,-1287.2,15553,53.855
394,1,26723.9483424286,-1572.70675128699,-1285.2,17608,53.831
395,1,26733.0458665521,-1580.86940089985,-1277.9,11459,53.865
396,1,26723.9376302305,-1571.67692646767,-1280.7,18902,53.953
397,1,26729.9669389856,-1573.68594347852,-1255.9,15118,53.845
398,1,26717.0355537934,-1582.03424605995,-1278.9,12621,53.858
399,1,26718.9417721296,-1572.74894514349,-1288.3,14292,53.845
400,1,26713.9244896324,-1571.76131418067,-1276.9,16047,53.861
401,1,26717.9940190606,-1577.90650801138,-1275.3,14771,53.691
402,1,26726.8987236173,-1567.5323108765,-1276.3,20692,53.821
403,1,26718.0261556551,-1580.99598246934,-1266.2,14297,53.814
404,1,26730.9896774418,-1575.73715434585,-1276.7,21849,53.88
405,1,26708.9714803242,-1576.95263213376,-1269.9,19597,53.879
406,1,26728.9656249258,-1573.69438224982,-1262.7,17268,53.861
407,1,26719.9645105857,-1574.80015601083,-1268.1,19170,53.852
408,1,26723.9911912213,-1576.82605056427,-1264.1,17129,53.839
409,2,26719.9430861894,-1572.74050637219,-1280.9,17583,53.873
410,1,26711.9754225036,-1576.92731581986,-1273.3,17802,53.855
411,1,26720.9444002492,-1572.73206760089,-1238.1,15319,54.206
412,1,26726.9094358154,-1568.56213569582,-1262.7,14389,53.906
413,1,26719.9966471802,-1577.88963046878,-1270.7,18093,53.863
414,1,26727.9857352623,-1575.76247065975,-1276.7,16721,53.889
415,1,26719.0596063093,-1584.077018156,-1276.7,19663,53.919
416,1,26719.9537983876,-1573.77033119151,-1288.9,15040,53.755
