frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
212,1,26140,10623,-1267.1,NaN,NaN,NaN,13465,53.232
213,1,26147,10627,-1281.2,NaN,NaN,NaN,17021,53.247
214,1,26146,10629,-1278.8,NaN,NaN,NaN,17893,53.24
215,1,26140,10622,-1280.8,NaN,NaN,NaN,18599,53.232
216,1,26152,10630,-1284.3,NaN,NaN,NaN,14846,53.253
217,1,26142,10630,-1286,NaN,NaN,NaN,14069,53.218
218,1,26145,10624,-1285.4,NaN,NaN,NaN,17829,53.328
219,1,26137,10623,-1271.4,NaN,NaN,NaN,17234,53.313
220,1,26132,10613,-1254.9,NaN,NaN,NaN,14655,53.272
221,1,26146,10628,-1284.5,NaN,NaN,NaN,18102,53.34
222,1,26156,10626,-1280.8,NaN,NaN,NaN,12614,53.345
223,1,26141,10621,-1259.4,NaN,NaN,NaN,20694,53.362
224,1,26151,10634,-1270.7,NaN,NaN,NaN,18505,53.308
225,1,26154,10631,-1265.4,NaN,NaN,NaN,22853,53.385
226,1,26125,10626,-1270,NaN,NaN,NaN,22883,53.349
227,1,26150,10634,-1282.2,NaN,NaN,NaN,15124,53.376
228,1,26141,10628,-1283.3,NaN,NaN,NaN,14686,53.269
229,1,26126,10618,-1276.7,NaN,NaN,NaN,17516,53.354
230,1,26150,10629,-1279.3,NaN,NaN,NaN,19554,53.355
231,1,26149,10633,-1262.2,NaN,NaN,NaN,18043,53.909
232,1,26140,10623,-1281,NaN,NaN,NaN,16912,53.426
233,1,26142,10626,-1265.5,NaN,NaN,NaN,19991,53.488
234,1,26146,10627,-1274,NaN,NaN,NaN,21521,53.439
235,1,26144,10626,-1274.2,NaN,NaN,NaN,20873,53.491
236,1,26142,10621,-1282.6,NaN,NaN,NaN,18546,53.365
237,1,26149,10633,-1289.4,NaN,NaN,NaN,12784,53.382
238,1,26143,10626,-1285.2,NaN,NaN,NaN,14015,53.337
239,1,26139,10633,-1287.6,NaN,NaN,NaN,17939,53.342
240,1,26149,10624,-1285.2,NaN,NaN,NaN,14388,53.459
242,1,26139,10622,-1275.8,NaN,NaN,NaN,12468,53.439
243,1,26153,10627,-1273.7,NaN,NaN,NaN,19197,53.41
244,1,26156,10637,-1288,NaN,NaN,NaN,14666,53.411
245,1,26143,10630,-1282.7,NaN,NaN,NaN,20323,53.531
246,1,26149,10625,-1282.2,NaN,NaN,NaN,16733,53.52
247,1,26154,10629,-1287,NaN,NaN,NaN,17034,53.592
248,1,26149,10633,-1292.4,NaN,NaN,NaN,14544,53.436
249,1,26148,10621,-1295.3,NaN,NaN,NaN,16077,53.469
250,1,26155,10623,-1293.5,NaN,NaN,NaN,15281,53.578
251,1,26151,10629,-1289.6,NaN,NaN,NaN,14403,53.53
252,1,26151,10621,-1297.1,NaN,NaN,NaN,19424,53.548
253,1,26139,10620,-1288.3,NaN,NaN,NaN,15778,53.598
254,1,26161,10632,-1299.9,NaN,NaN,NaN,22200,53.569
255,1,26158,10632,-1299.2,NaN,NaN,NaN,14300,53.5
256,1,26149,10632,-1289.7,NaN,NaN,NaN,13953,53.481
257,1,26146,10619,-1285.6,NaN,NaN,NaN,14765,53.573
258,1,26148,10628,-1298.4,NaN,NaN,NaN,16200,53.49
259,1,26143,10625,-1296.2,NaN,NaN,NaN,17251,53.52
260,1,26145,10627,-1287.7,NaN,NaN,NaN,17059,53.653
261,1,26140,10627,-1298.5,NaN,NaN,NaN,15170,53.645
262,1,26153,10624,-1294.4,NaN,NaN,NaN,17955,53.539
