frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,20374.46,27610.85,545.6082,17.53479,1858.503,107.4965,44.24252,0
1,1813.622,27701.62,2064.9809,61.31674,1396.54,128.0778,139.5533,0
1,18858.52,27685.21,406.4547,66.47535,2049.855,118.6651,125.0165,0
1,19603.84,27780.84,565.4469,39.15744,2662.328,118.3476,70.37521,0
1,20360.9,27647.63,525.034,19.8208,1895.757,108.4949,44.89507,0
1,12518.24,27855.95,385.5855,65.51427,1486.252,93.60345,110.0992,0
1,12866.74,28078.71,554.8939,58.1451,1427.155,87.48812,108.0198,0
1,15358.43,28231.92,1747.7237,51.00886,2232.979,98.4527,130.0799,0
1,16149.15,28184.61,374.9712,39.93064,3797.783,107.2821,93.21877,0
1,27479.3,28280.71,1126.5412,12.02344,3441.316,73.42329,20.78735,0
1,14243.76,28350.04,2109.0993,53.73017,1797.353,95.25439,116.5495,0
1,19277.9,28338.09,1665.8757,49.39683,1870.991,122.0058,103.1863,0
1,166.2196,28548.97,1053.1543,74.72577,2327.431,138.1469,171.7006,0
1,674.793,28538.13,2048.1369,42.01086,3048.725,129.1597,153.0821,0
1,15727.73,28498.44,149.466,25.05969,8392.174,103.2032,56.82058,0
1,19864.92,28507.21,2052.7478,63.36368,1991.734,113.089,172.1827,0
1,20343.18,28463.68,598.7359,19.68817,614.6589,107.7257,39.70342,0
1,17062.32,28656.96,1001.4489,49.37576,2101.6,113.0865,121.8265,0
1,17438.35,28739.1,1968.6524,23.37491,3923.264,117.5501,53.38239,0
1,23814.56,28726.9,1455.9682,49.74149,840.4698,94.54515,96.44572,0
1,547.3653,28755.56,392.28,63.58822,2575.132,126.0987,140.0569,0
1,14739.73,28844.49,2117.1784,50.15996,2752.393,93.39996,110.9316,0
1,19725.75,28833.01,241.614,54.64421,2876.746,117.4727,56.28504,0
1,137.475928,28954.9,1500.8822,72.75249,2938.757,135.775,229.7944,0
1,13895.8,28973.94,453.0039,51.05616,1691.026,92.49571,170.8019,0
1,26620.87,28932.83,1773.636,16.24403,4825.638,81.23886,36.54578,0
1,17579.42,29179.82,339.5405,47.07066,3590.197,106.85,78.95129,0
1,719.2689,29296.08,2166.0669,49.94955,2562.013,129.7023,113.6332,0
1,1367.021,29450.23,728.1071,67.53526,1446.475,121.3098,169.1657,0
1,1810.832,29442.71,1609.082,56.65707,1116.005,116.0517,182.4743,0
1,20334.71,29521.8,1362.0262,42.69007,2040.36,104.7883,168.9016,0
1,26465.85,29451.9,2194.6584,37.98068,3660.284,82.62083,77.82673,0
1,27563.11,29519.77,416.491,43.32688,1895.017,67.33065,100.2473,0
1,382.4669,29630.32,537.1124,62.28542,2421.411,125.6869,148.9391,0
